store_id,item_id,wm_yr_wk,sell_price
STORE_2,STORE_2_085,11101,1.0
STORE_2,STORE_2_043,11101,2.88
STORE_2,STORE_2_054,11101,2.28
STORE_2,STORE_2_090,11101,1.25
STORE_2,STORE_2_252,11101,1.48
STORE_2,STORE_2_376,11101,1.0
STORE_2,STORE_2_524,11101,1.0
STORE_2,STORE_2_555,11101,1.48
STORE_2,STORE_2_586,11101,1.48
STORE_2,STORE_2_587,11101,2.48
STORE_2,STORE_2_681,11101,1.25
STORE_2,STORE_2_714,11101,1.48
STORE_3,STORE_3_357,11101,1.57
STORE_3,STORE_3_360,11101,0.58
STORE_3,STORE_3_090,11101,1.25
STORE_3,STORE_3_252,11101,1.48
STORE_3,STORE_3_389,11101,1.48
STORE_3,STORE_3_555,11101,1.48
STORE_3,STORE_3_586,11101,1.48
STORE_3,STORE_3_587,11101,2.28
STORE_3,STORE_3_714,11101,1.48
STORE_3,STORE_3_804,11101,1.88
STORE_1,STORE_1_064,11101,2.54
STORE_1,STORE_1_065,11101,2.94
STORE_1,STORE_1_376,11101,1.98
STORE_1,STORE_1_090,11101,1.25
STORE_1,STORE_1_252,11101,1.48
STORE_1,STORE_1_339,11101,0.88
STORE_1,STORE_1_546,11101,5.48
STORE_1,STORE_1_547,11101,0.2
STORE_1,STORE_1_555,11101,1.48
STORE_1,STORE_1_584,11101,1.0
STORE_1,STORE_1_586,11101,1.48
STORE_1,STORE_1_587,11101,2.28
STORE_1,STORE_1_714,11101,1.48
STORE_1,STORE_1_727,11101,3.98
STORE_2,STORE_2_085,11102,1.0
STORE_2,STORE_2_043,11102,2.88
STORE_2,STORE_2_054,11102,2.28
STORE_2,STORE_2_090,11102,1.25
STORE_2,STORE_2_252,11102,1.48
STORE_2,STORE_2_376,11102,1.0
STORE_2,STORE_2_524,11102,1.0
STORE_2,STORE_2_555,11102,1.48
STORE_2,STORE_2_586,11102,1.48
STORE_2,STORE_2_587,11102,2.48
STORE_2,STORE_2_681,11102,1.25
STORE_2,STORE_2_714,11102,1.48
STORE_3,STORE_3_357,11102,1.57
STORE_3,STORE_3_360,11102,0.58
STORE_3,STORE_3_090,11102,1.25
STORE_3,STORE_3_252,11102,1.48
STORE_3,STORE_3_389,11102,1.48
STORE_3,STORE_3_555,11102,1.48
STORE_3,STORE_3_586,11102,1.48
STORE_3,STORE_3_587,11102,2.48
STORE_3,STORE_3_714,11102,1.48
STORE_3,STORE_3_804,11102,1.88
STORE_1,STORE_1_064,11102,2.54
STORE_1,STORE_1_065,11102,2.94
STORE_1,STORE_1_376,11102,1.98
STORE_1,STORE_1_090,11102,1.25
STORE_1,STORE_1_252,11102,1.48
STORE_1,STORE_1_339,11102,0.88
STORE_1,STORE_1_546,11102,5.48
STORE_1,STORE_1_547,11102,0.2
STORE_1,STORE_1_555,11102,1.48
STORE_1,STORE_1_584,11102,1.0
STORE_1,STORE_1_586,11102,1.48
STORE_1,STORE_1_587,11102,2.48
STORE_1,STORE_1_714,11102,1.48
STORE_1,STORE_1_727,11102,3.98
STORE_2,STORE_2_085,11103,1.0
STORE_2,STORE_2_043,11103,2.88
STORE_2,STORE_2_054,11103,2.28
STORE_2,STORE_2_090,11103,1.25
STORE_2,STORE_2_252,11103,1.48
STORE_2,STORE_2_376,11103,1.0
STORE_2,STORE_2_524,11103,1.0
STORE_2,STORE_2_555,11103,1.48
STORE_2,STORE_2_586,11103,1.48
STORE_2,STORE_2_587,11103,2.48
STORE_2,STORE_2_681,11103,1.25
STORE_2,STORE_2_714,11103,1.48
STORE_3,STORE_3_357,11103,1.57
STORE_3,STORE_3_360,11103,0.58
STORE_3,STORE_3_090,11103,1.25
STORE_3,STORE_3_222,11103,4.28
STORE_3,STORE_3_252,11103,1.48
STORE_3,STORE_3_389,11103,1.48
STORE_3,STORE_3_555,11103,1.48
STORE_3,STORE_3_586,11103,1.48
STORE_3,STORE_3_587,11103,2.48
STORE_3,STORE_3_714,11103,1.48
STORE_3,STORE_3_804,11103,1.88
STORE_1,STORE_1_064,11103,2.54
STORE_1,STORE_1_065,11103,2.94
STORE_1,STORE_1_376,11103,1.98
STORE_1,STORE_1_090,11103,1.25
STORE_1,STORE_1_252,11103,1.48
STORE_1,STORE_1_339,11103,0.88
STORE_1,STORE_1_546,11103,5.48
STORE_1,STORE_1_547,11103,0.2
STORE_1,STORE_1_555,11103,1.48
STORE_1,STORE_1_584,11103,1.0
STORE_1,STORE_1_586,11103,1.48
STORE_1,STORE_1_587,11103,2.48
STORE_1,STORE_1_714,11103,1.48
STORE_1,STORE_1_727,11103,2.98
STORE_2,STORE_2_085,11104,1.0
STORE_2,STORE_2_043,11104,2.88
STORE_2,STORE_2_054,11104,2.28
STORE_2,STORE_2_090,11104,1.25
STORE_2,STORE_2_252,11104,1.48
STORE_2,STORE_2_376,11104,1.0
STORE_2,STORE_2_524,11104,1.0
STORE_2,STORE_2_555,11104,1.48
STORE_2,STORE_2_586,11104,1.48
STORE_2,STORE_2_587,11104,2.48
STORE_2,STORE_2_681,11104,1.25
STORE_2,STORE_2_714,11104,1.48
STORE_3,STORE_3_357,11104,1.57
STORE_3,STORE_3_360,11104,0.58
STORE_3,STORE_3_090,11104,1.25
STORE_3,STORE_3_222,11104,4.28
STORE_3,STORE_3_252,11104,1.48
STORE_3,STORE_3_389,11104,1.48
STORE_3,STORE_3_555,11104,1.48
STORE_3,STORE_3_586,11104,1.48
STORE_3,STORE_3_587,11104,2.68
STORE_3,STORE_3_714,11104,1.48
STORE_3,STORE_3_804,11104,1.88
STORE_1,STORE_1_064,11104,2.54
STORE_1,STORE_1_065,11104,2.94
STORE_1,STORE_1_376,11104,1.98
STORE_1,STORE_1_090,11104,1.25
STORE_1,STORE_1_252,11104,1.48
STORE_1,STORE_1_339,11104,0.88
