item_id,store_id,date_id,cnt
STORE_2_085,STORE_2,1,3
STORE_2_085,STORE_2,2,8
STORE_2_085,STORE_2,3,0
STORE_2_085,STORE_2,4,3
STORE_2_085,STORE_2,5,0
STORE_2_085,STORE_2,6,7
STORE_2_085,STORE_2,7,4
STORE_2_085,STORE_2,8,5
STORE_2_085,STORE_2,9,3
STORE_2_085,STORE_2,10,7
STORE_2_085,STORE_2,11,4
STORE_2_085,STORE_2,12,4
STORE_2_085,STORE_2,13,3
STORE_2_085,STORE_2,14,7
STORE_2_085,STORE_2,15,2
STORE_2_085,STORE_2,16,3
STORE_2_085,STORE_2,17,12
STORE_2_085,STORE_2,18,6
STORE_2_085,STORE_2,19,4
STORE_2_085,STORE_2,20,5
STORE_2_085,STORE_2,21,2
STORE_2_085,STORE_2,22,4
STORE_2_085,STORE_2,23,3
STORE_2_085,STORE_2,24,3
STORE_2_085,STORE_2,25,4
STORE_2_085,STORE_2,26,4
STORE_2_085,STORE_2,27,0
STORE_2_085,STORE_2,28,9
STORE_2_085,STORE_2,29,3
STORE_2_085,STORE_2,30,3
STORE_2_085,STORE_2,31,1
STORE_2_085,STORE_2,32,4
STORE_2_085,STORE_2,33,6
STORE_2_085,STORE_2,34,4
STORE_2_085,STORE_2,35,3
STORE_2_085,STORE_2,36,4
STORE_2_085,STORE_2,37,6
STORE_2_085,STORE_2,38,2
STORE_2_085,STORE_2,39,1
STORE_2_085,STORE_2,40,0
STORE_2_085,STORE_2,41,2
STORE_2_085,STORE_2,42,8
STORE_2_085,STORE_2,43,5
STORE_2_085,STORE_2,44,1
STORE_2_085,STORE_2,45,2
STORE_2_085,STORE_2,46,0
STORE_2_085,STORE_2,47,1
STORE_2_085,STORE_2,48,4
STORE_2_085,STORE_2,49,0
STORE_2_085,STORE_2,50,5
STORE_2_085,STORE_2,51,4
STORE_2_085,STORE_2,52,4
STORE_2_085,STORE_2,53,4
STORE_2_085,STORE_2,54,1
STORE_2_085,STORE_2,55,7
STORE_2_085,STORE_2,56,1
STORE_2_085,STORE_2,57,2
STORE_2_085,STORE_2,58,2
STORE_2_085,STORE_2,59,0
STORE_2_085,STORE_2,60,15
STORE_2_085,STORE_2,61,0
STORE_2_085,STORE_2,62,0
STORE_2_085,STORE_2,63,2
STORE_2_085,STORE_2,64,2
STORE_2_085,STORE_2,65,4
STORE_2_085,STORE_2,66,3
STORE_2_085,STORE_2,67,2
STORE_2_085,STORE_2,68,3
STORE_2_085,STORE_2,69,6
STORE_2_085,STORE_2,70,2
STORE_2_085,STORE_2,71,3
STORE_2_085,STORE_2,72,1
